1,2,3,4,5,6,7,8,9,10,11,12
1.5223,1.7905,1.999,0,T-H,0.0,0.0,1.045,0.8911,1.2727,5504.0,32.0
1.626,1.7379,1.7274,0,T-H,0.0,0.0,1.1017,0.9226,1.2375,5503.0,32.0
1.414,1.6675,1.9465,0,T-H,0.0,0.0,1.1001,1.0187,1.2838,5503.0,32.0
1.3958,1.8151,2.0316,0,T-H,0.0,0.0,1.0952,1.0187,1.2284,5503.0,32.0
1.4133,1.6504,2.1162,0,T-H,0.0,0.0,1.0451,1.027,1.1881,5503.0,32.0
1.5209,1.624,1.8613,0,T-H,0.0,0.0,1.0694,1.0729,1.23,5505.0,32.0
1.6738,1.961,1.7246,0,T-H,0.0,0.0,1.0692,1.0799,1.1828,5505.0,32.0
1.6329,1.9761,1.5896,0,T-H,0.0,0.0,1.0919,1.1435,1.1566,5504.0,32.0
1.7688,1.8383,1.6766,0,T-H,0.0,0.0,1.2581,1.0893,1.2406,5504.0,32.0
1.9201,2.1046,1.6527,0,T-H,0.0,0.0,1.3137,1.1622,1.2406,5504.0,32.0
2.1715,2.0706,1.8017,0,T-H,0.0,0.0,1.3296,1.1558,1.2174,5504.0,32.0
2.2213,2.1079,1.6742,0,T-H,0.0,0.0,1.2596,1.1762,1.2152,5504.0,32.0
2.1986,1.9389,1.7975,0,T-H,0.0,0.0,1.1857,1.2288,1.2793,5504.0,32.0
2.2376,2.1122,1.9299,0,T-H,0.0,0.0,1.2875,1.2854,1.3113,5503.0,32.0
2.4159,1.9743,1.955,0,T-H,0.0,0.0,1.3925,1.2646,1.2787,5503.0,32.0
2.2605,1.8211,1.9032,0,T-H,0.0,0.0,1.3199,1.2246,1.2999,5503.0,32.0
2.2605,1.9431,2.0441,0,T-H,0.0,0.0,1.3483,1.2849,1.4043,5503.0,32.0
2.306,2.0309,2.052,0,T-H,0.0,0.0,1.3155,1.2427,1.4224,5502.0,32.0
2.2746,2.235,1.9455,0,T-H,0.0,0.0,1.2968,1.3369,1.4224,5502.0,32.0
2.1531,2.1969,1.8196,0,T-H,0.0,0.0,1.2063,1.2721,1.4027,5502.0,32.0
1.9639,2.1276,1.9221,0,T-H,0.0,0.0,1.1018,1.3566,1.4386,5502.0,32.0
2.1524,2.2023,1.8093,0,T-H,0.0,0.0,1.163,1.3772,1.458,5502.0,32.0
2.1431,2.6266,2.0132,0,T-H,0.0,0.0,1.228,1.4802,1.5666,5502.0,32.0
2.0358,2.3318,1.877,0,T-H,0.0,0.0,1.2268,1.3769,1.5445,5503.0,32.0
2.0151,2.3605,1.8687,0,T-H,0.0,0.0,1.2031,1.3404,1.5445,5503.0,32.0
1.8763,2.2268,2.1674,0,T-H,0.0,0.0,1.2031,1.391,1.6538,5503.0,32.0
1.8329,2.2542,2.5682,0,T-H,0.0,0.0,1.2543,1.41,1.7052,5503.0,32.0
1.8329,2.1956,2.5361,0,T-H,0.0,0.0,1.2543,1.4155,1.7245,5503.0,32.0
1.7358,1.7888,2.8767,0,T-H,0.0,0.0,1.203,1.2879,1.7143,5505.0,32.0
1.7633,1.9289,3.1656,0,T-H,0.0,0.0,1.2375,1.2667,1.8008,5505.0,32.0
1.9152,2.0231,3.2605,0,T-H,0.0,0.0,1.3563,1.2586,1.8624,5506.0,32.0
1.8124,2.1255,3.4819,0,T-H,0.0,0.0,1.4319,1.3239,1.8455,5506.0,32.0
2.0504,2.1914,3.8124,0,T-H,0.0,0.0,1.495,1.3284,1.9158,5506.0,32.0
1.9112,2.0916,3.6958,0,T-H,0.0,0.0,1.4427,1.2632,1.9039,5506.0,32.0
1.9112,2.3821,3.7134,0,T-H,0.0,0.0,1.3847,1.3346,1.8456,5505.0,32.0
1.9563,2.3821,3.7557,0,T-H,0.0,0.0,1.4081,1.3623,1.8456,5505.0,32.0
1.9967,2.5744,3.6077,0,T-H,0.0,0.0,1.3777,1.3283,1.8456,5505.0,32.0
2.245,2.5644,3.378,0,T-H,0.0,0.0,1.3802,1.3181,1.7783,5505.0,32.0
